模型,mAP@0.5,mAP@0.5:0.95,Precision,Recall,F1-Score
YOLOv8n (Baseline),0.8750729929536909,0.6236113819176381,0.8358443441548926,0.8910554060467057,0.862567293076317
YOLOv8n + SimAM,0.8852504174968282,0.6324869691502605,0.8324757613297383,0.8959354905580104,0.8630406435852698
