类别,Baseline mAP@0.5,SimAM mAP@0.5,提升 (%)
black_rot,0.6005519200857574,0.6091472005570381,1.4312302040518459
blight,0.6356255156951669,0.6390210954487154,0.5342107372506723
black_measles,0.350612633272977,0.37162826758235495,5.993975206539635
Healthy,0.9076554586166509,0.9101513130129334,0.2749781728946394
