epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1493.89,1.29829,0.7562,1.31092,0.81222,0.88105,0.88618,0.63243,1.19861,0.60952,1.31461,0.007162,0.007162,0.007162
45,1528.41,1.29044,0.75459,1.30187,0.81834,0.88219,0.88464,0.63077,1.19075,0.59223,1.31813,0.007096,0.007096,0.007096
46,1561.5,1.29307,0.75408,1.30332,0.84575,0.85598,0.88989,0.63733,1.18532,0.59036,1.30962,0.00703,0.00703,0.00703
47,1594.13,1.28483,0.74555,1.30044,0.82313,0.89751,0.88406,0.6302,1.19896,0.59386,1.32346,0.006964,0.006964,0.006964
48,1626.35,1.29266,0.73969,1.29562,0.80208,0.90287,0.88342,0.62781,1.20531,0.592,1.32185,0.006898,0.006898,0.006898
49,1659.96,1.27669,0.73421,1.29542,0.8258,0.86689,0.89201,0.63585,1.1862,0.58548,1.30349,0.006832,0.006832,0.006832
50,1692.95,1.2833,0.7302,1.2979,0.83003,0.87964,0.8891,0.63659,1.18704,0.57708,1.30785,0.006766,0.006766,0.006766
51,1725.99,1.27971,0.73915,1.29868,0.82286,0.88318,0.89246,0.63887,1.20449,0.58069,1.31151,0.0067,0.0067,0.0067
52,1759.04,1.27179,0.72715,1.27956,0.81905,0.88842,0.88263,0.63429,1.18171,0.57668,1.30533,0.006634,0.006634,0.006634
53,1791.53,1.26981,0.72601,1.28537,0.82745,0.88406,0.89352,0.64325,1.19183,0.58131,1.31237,0.006568,0.006568,0.006568
54,1824.29,1.2715,0.71562,1.28771,0.82961,0.87713,0.8801,0.64073,1.18077,0.5805,1.30068,0.006502,0.006502,0.006502
55,1859.63,1.26973,0.72185,1.285,0.84674,0.8692,0.88581,0.64503,1.18024,0.57318,1.30379,0.006436,0.006436,0.006436
56,1893.94,1.26946,0.72103,1.28611,0.82404,0.89562,0.8856,0.63657,1.19127,0.57769,1.31352,0.00637,0.00637,0.00637
57,1927.34,1.2588,0.71361,1.27816,0.82258,0.90472,0.89209,0.64367,1.17541,0.57206,1.30222,0.006304,0.006304,0.006304
58,1961.65,1.26159,0.71728,1.28811,0.81814,0.87813,0.88744,0.63606,1.19149,0.57972,1.31548,0.006238,0.006238,0.006238
59,1996.85,1.26088,0.71081,1.27945,0.84919,0.8594,0.88965,0.63429,1.21122,0.58159,1.32049,0.006172,0.006172,0.006172
60,2031.75,1.25947,0.71317,1.2858,0.83196,0.87304,0.88841,0.64439,1.18446,0.57063,1.3008,0.006106,0.006106,0.006106
61,2067.02,1.25626,0.70521,1.2813,0.8499,0.86259,0.88679,0.6407,1.18918,0.56831,1.31307,0.00604,0.00604,0.00604
62,2104.47,1.25625,0.70468,1.27533,0.83507,0.89354,0.88437,0.64448,1.18079,0.57219,1.30853,0.005974,0.005974,0.005974
63,2140.09,1.25599,0.70879,1.27976,0.83709,0.87995,0.88935,0.64266,1.19799,0.56629,1.31452,0.005908,0.005908,0.005908
64,2173.94,1.24618,0.69701,1.27464,0.84418,0.86767,0.89328,0.64489,1.19645,0.57341,1.31581,0.005842,0.005842,0.005842
65,2207.67,1.24456,0.70092,1.27537,0.83303,0.89105,0.88809,0.63965,1.19857,0.56228,1.31829,0.005776,0.005776,0.005776
66,2241.13,1.23984,0.69601,1.27042,0.84058,0.85742,0.88622,0.63472,1.18711,0.56638,1.31069,0.00571,0.00571,0.00571
67,2275.26,1.24079,0.69242,1.27174,0.84226,0.87603,0.88967,0.64171,1.18044,0.5617,1.30677,0.005644,0.005644,0.005644
68,2308.69,1.22589,0.68503,1.26112,0.84035,0.89174,0.89121,0.64398,1.19362,0.56224,1.31335,0.005578,0.005578,0.005578
69,2342.2,1.23238,0.68244,1.26043,0.84108,0.89302,0.88468,0.6416,1.1746,0.55744,1.30257,0.005512,0.005512,0.005512
70,2375.53,1.23915,0.68516,1.27098,0.8368,0.8878,0.88696,0.63833,1.17357,0.56368,1.30041,0.005446,0.005446,0.005446
71,2408.85,1.23237,0.68982,1.26585,0.84786,0.88057,0.89146,0.64752,1.17648,0.55881,1.30494,0.00538,0.00538,0.00538
72,2441.35,1.21817,0.66617,1.2525,0.84045,0.89129,0.88976,0.64116,1.18964,0.55808,1.31655,0.005314,0.005314,0.005314
