epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1587.63,1.29389,0.74733,1.31152,0.82193,0.88192,0.88791,0.62972,1.20699,0.59252,1.32006,0.007162,0.007162,0.007162
45,1622.92,1.29141,0.74792,1.30149,0.82077,0.89064,0.88463,0.63358,1.19979,0.58846,1.32052,0.007096,0.007096,0.007096
46,1658.9,1.28769,0.7486,1.3007,0.81429,0.90212,0.89319,0.63873,1.18887,0.58615,1.31624,0.00703,0.00703,0.00703
47,1695.26,1.2755,0.74005,1.29434,0.81991,0.89958,0.89217,0.63294,1.19894,0.58845,1.31665,0.006964,0.006964,0.006964
48,1731.49,1.28952,0.73776,1.29458,0.7992,0.91131,0.88219,0.63155,1.21072,0.58574,1.32238,0.006898,0.006898,0.006898
49,1767.82,1.27527,0.73001,1.2935,0.82045,0.90721,0.89289,0.63946,1.19799,0.58135,1.30949,0.006832,0.006832,0.006832
50,1803.91,1.27629,0.723,1.29407,0.84175,0.89882,0.8942,0.6382,1.18598,0.57649,1.30454,0.006766,0.006766,0.006766
51,1839.97,1.27285,0.73193,1.29229,0.82558,0.88805,0.89271,0.63765,1.19633,0.5793,1.31054,0.0067,0.0067,0.0067
52,1876.27,1.26543,0.72289,1.27783,0.83532,0.89241,0.8851,0.6363,1.17499,0.58494,1.3012,0.006634,0.006634,0.006634
53,1912.84,1.26957,0.72317,1.28349,0.81118,0.90657,0.88212,0.63117,1.19605,0.57828,1.31148,0.006568,0.006568,0.006568
54,1949.17,1.26555,0.71168,1.28366,0.83989,0.90191,0.89251,0.64397,1.18959,0.57407,1.31193,0.006502,0.006502,0.006502
55,1985.49,1.26416,0.71413,1.28281,0.82349,0.88051,0.89516,0.64327,1.18733,0.56995,1.3046,0.006436,0.006436,0.006436
56,2021.75,1.26472,0.71671,1.28257,0.8328,0.90398,0.90003,0.64524,1.18424,0.57041,1.30977,0.00637,0.00637,0.00637
57,2058.35,1.24874,0.70388,1.27319,0.8404,0.88658,0.90172,0.65155,1.17753,0.56667,1.30523,0.006304,0.006304,0.006304
58,2094.41,1.25303,0.71162,1.28426,0.84562,0.87802,0.89672,0.63946,1.19755,0.56732,1.3194,0.006238,0.006238,0.006238
59,2130.32,1.25342,0.70805,1.27573,0.83176,0.88925,0.88869,0.63932,1.2076,0.56916,1.31861,0.006172,0.006172,0.006172
60,2166.44,1.24859,0.7055,1.27961,0.84244,0.87223,0.89437,0.64835,1.17799,0.56721,1.30523,0.006106,0.006106,0.006106
61,2202.8,1.2524,0.69647,1.27822,0.85455,0.89613,0.89749,0.65078,1.18372,0.56019,1.30739,0.00604,0.00604,0.00604
62,2239.28,1.24878,0.69605,1.27166,0.86218,0.88974,0.90056,0.65327,1.18149,0.56376,1.30183,0.005974,0.005974,0.005974
63,2275.67,1.24276,0.6984,1.27238,0.86526,0.86848,0.90219,0.6445,1.1897,0.56151,1.31055,0.005908,0.005908,0.005908
64,2311.99,1.23599,0.6942,1.2695,0.84762,0.88619,0.8988,0.64859,1.18828,0.55723,1.31125,0.005842,0.005842,0.005842
65,2348.27,1.23617,0.69768,1.26988,0.83419,0.88774,0.89549,0.64469,1.20196,0.56641,1.31614,0.005776,0.005776,0.005776
66,2384.35,1.23731,0.68684,1.26848,0.84328,0.87943,0.90092,0.64835,1.18626,0.55889,1.3061,0.00571,0.00571,0.00571
67,2420.31,1.2361,0.68383,1.26975,0.83267,0.91097,0.89523,0.64788,1.188,0.55643,1.3051,0.005644,0.005644,0.005644
68,2456.36,1.22157,0.67868,1.25822,0.82523,0.90697,0.89104,0.64332,1.18913,0.55097,1.31217,0.005578,0.005578,0.005578
69,2492.47,1.22494,0.67269,1.25688,0.83397,0.89664,0.89564,0.64569,1.18575,0.55422,1.30867,0.005512,0.005512,0.005512
70,2528.62,1.22965,0.67077,1.26634,0.84051,0.88997,0.8897,0.64181,1.18242,0.55522,1.30759,0.005446,0.005446,0.005446
71,2564.61,1.22675,0.67822,1.26326,0.84799,0.8939,0.89464,0.64409,1.18537,0.55451,1.31035,0.00538,0.00538,0.00538
72,2600.58,1.21328,0.65916,1.2504,0.85458,0.88061,0.89149,0.64013,1.19163,0.55894,1.31254,0.005314,0.005314,0.005314
73,2636.77,1.22221,0.67035,1.2581,0.84629,0.88937,0.89112,0.6456,1.18085,0.55937,1.30031,0.005248,0.005248,0.005248
74,2672.89,1.21026,0.66515,1.25931,0.85905,0.88248,0.89984,0.65152,1.18447,0.54957,1.30278,0.005182,0.005182,0.005182
75,2708.99,1.21398,0.66927,1.26153,0.83647,0.89809,0.89515,0.64964,1.18592,0.5453,1.30891,0.005116,0.005116,0.005116
76,2745.06,1.20843,0.66452,1.25244,0.85739,0.88921,0.89759,0.64796,1.19036,0.55099,1.31003,0.00505,0.00505,0.00505
77,2781.15,1.2101,0.65529,1.2459,0.84759,0.87971,0.89707,0.65334,1.18267,0.54585,1.30369,0.004984,0.004984,0.004984
78,2816.95,1.20985,0.65574,1.24894,0.82368,0.89494,0.89465,0.65143,1.17492,0.54936,1.30295,0.004918,0.004918,0.004918
79,2853.09,1.20415,0.65319,1.24891,0.84571,0.89864,0.90234,0.65247,1.18951,0.54758,1.3081,0.004852,0.004852,0.004852
80,2888.84,1.19723,0.65152,1.24508,0.82993,0.90473,0.90256,0.64888,1.19156,0.54453,1.31077,0.004786,0.004786,0.004786
81,2924.35,1.19338,0.645,1.2457,0.84031,0.8946,0.89524,0.64569,1.19297,0.55134,1.31163,0.00472,0.00472,0.00472
82,2960.14,1.19705,0.64362,1.24353,0.83547,0.89015,0.89679,0.64924,1.19061,0.55443,1.31074,0.004654,0.004654,0.004654
83,2996.19,1.19042,0.64525,1.23918,0.84755,0.89034,0.89073,0.64527,1.19082,0.55094,1.31228,0.004588,0.004588,0.004588
84,3032.34,1.19047,0.63922,1.24103,0.86233,0.87604,0.89953,0.64589,1.1881,0.55453,1.31351,0.004522,0.004522,0.004522
85,3068.42,1.19329,0.63528,1.2427,0.86966,0.87266,0.89312,0.6457,1.19018,0.55288,1.31115,0.004456,0.004456,0.004456
86,3104.4,1.18838,0.62995,1.23837,0.82349,0.90037,0.8912,0.64696,1.19222,0.55169,1.31145,0.00439,0.00439,0.00439
87,3140.26,1.18144,0.62835,1.23873,0.8511,0.88274,0.89241,0.64638,1.18839,0.54445,1.31035,0.004324,0.004324,0.004324
88,3175.95,1.18619,0.6313,1.23788,0.85022,0.87879,0.89152,0.6443,1.19704,0.54896,1.31352,0.004258,0.004258,0.004258
89,3211.75,1.17449,0.62533,1.23178,0.85234,0.88584,0.89699,0.65239,1.18942,0.55266,1.30973,0.004192,0.004192,0.004192
90,3247.27,1.17956,0.62877,1.23847,0.82438,0.89658,0.89277,0.64205,1.19009,0.55994,1.3108,0.004126,0.004126,0.004126
91,3282.36,1.17748,0.62491,1.22953,0.84916,0.88361,0.89477,0.64701,1.18432,0.5515,1.30761,0.00406,0.00406,0.00406
92,3317.42,1.17132,0.62236,1.23354,0.85556,0.88062,0.89332,0.64421,1.19055,0.55521,1.31183,0.003994,0.003994,0.003994
93,3352.45,1.16977,0.61952,1.22664,0.85167,0.87917,0.89052,0.64473,1.19003,0.55247,1.31373,0.003928,0.003928,0.003928
94,3387.65,1.17187,0.61871,1.23265,0.84922,0.88827,0.88873,0.64007,1.19158,0.5571,1.31116,0.003862,0.003862,0.003862
95,3423.18,1.1632,0.61387,1.22818,0.83762,0.88866,0.88759,0.64786,1.18527,0.5581,1.30944,0.003796,0.003796,0.003796
96,3458.96,1.16632,0.618,1.22241,0.84131,0.88928,0.89303,0.64563,1.18707,0.55271,1.31006,0.00373,0.00373,0.00373
97,3494.53,1.16795,0.6097,1.22338,0.85007,0.86797,0.89285,0.64533,1.19104,0.55159,1.31533,0.003664,0.003664,0.003664
