epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1520.01,1.29212,0.75168,1.30191,0.79259,0.90344,0.88626,0.63047,1.20056,0.59959,1.30683,0.007162,0.007162,0.007162
45,1553.95,1.28449,0.74913,1.29049,0.81225,0.89585,0.88399,0.62517,1.21368,0.5875,1.32377,0.007096,0.007096,0.007096
46,1588.03,1.2829,0.7493,1.28913,0.81741,0.86509,0.88049,0.62866,1.19724,0.59433,1.31345,0.00703,0.00703,0.00703
47,1621.9,1.27955,0.74648,1.28962,0.81309,0.87718,0.88399,0.62941,1.20705,0.58393,1.32309,0.006964,0.006964,0.006964
48,1655.98,1.2882,0.74009,1.28608,0.824,0.86505,0.8782,0.63134,1.20513,0.5861,1.31207,0.006898,0.006898,0.006898
49,1689.59,1.27324,0.73318,1.28566,0.84005,0.8728,0.8888,0.62979,1.19591,0.59432,1.31127,0.006832,0.006832,0.006832
50,1723.78,1.27477,0.72837,1.28758,0.82837,0.89257,0.88937,0.63968,1.19248,0.57408,1.30732,0.006766,0.006766,0.006766
51,1757.71,1.27629,0.73997,1.28889,0.8267,0.88582,0.8855,0.63714,1.19639,0.58435,1.30495,0.0067,0.0067,0.0067
52,1791.93,1.26868,0.72752,1.27243,0.83296,0.88115,0.88161,0.63529,1.18524,0.57891,1.30085,0.006634,0.006634,0.006634
53,1825.71,1.26776,0.7286,1.27584,0.80867,0.89784,0.88253,0.63348,1.19406,0.57984,1.30375,0.006568,0.006568,0.006568
54,1859.92,1.27036,0.71659,1.27979,0.8138,0.89013,0.88241,0.63941,1.18867,0.58062,1.29458,0.006502,0.006502,0.006502
55,1893.51,1.26225,0.72133,1.27337,0.81382,0.90361,0.88846,0.64146,1.17931,0.57271,1.29382,0.006436,0.006436,0.006436
56,1927.62,1.26292,0.71939,1.275,0.8277,0.88889,0.88836,0.638,1.18677,0.57073,1.30464,0.00637,0.00637,0.00637
