epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2475.12,1.28948,0.74674,1.30476,0.83945,0.90449,0.90087,0.65066,1.18096,0.5766,1.31547,0.007228,0.007228,0.007228
44,2538.63,1.28963,0.73864,1.31474,0.83506,0.89717,0.89456,0.64239,1.17664,0.57836,1.30591,0.007162,0.007162,0.007162
45,2601.37,1.282,0.73508,1.30156,0.82661,0.88887,0.89647,0.64441,1.1973,0.58302,1.32474,0.007096,0.007096,0.007096
46,2664.41,1.28523,0.73786,1.30695,0.85311,0.85778,0.8959,0.64448,1.19349,0.58252,1.32287,0.00703,0.00703,0.00703
47,2705.32,1.27134,0.72926,1.30156,0.83054,0.89731,0.90081,0.6444,1.20198,0.58303,1.32949,0.006964,0.006964,0.006964
48,2744.79,1.2867,0.72883,1.2993,0.82691,0.87249,0.88134,0.6284,1.20846,0.58679,1.32609,0.006898,0.006898,0.006898
49,2784.32,1.26839,0.71989,1.29785,0.83794,0.89007,0.89005,0.63825,1.20081,0.57806,1.33204,0.006832,0.006832,0.006832
50,2823.82,1.27195,0.71482,1.29944,0.85695,0.88363,0.89578,0.64092,1.18178,0.56976,1.31801,0.006766,0.006766,0.006766
51,2875.78,1.27155,0.72784,1.30224,0.85139,0.87609,0.89447,0.64209,1.18977,0.57195,1.31375,0.0067,0.0067,0.0067
52,2916.84,1.26602,0.70963,1.28393,0.84692,0.88131,0.8869,0.63196,1.1891,0.57297,1.3185,0.006634,0.006634,0.006634
53,2956.92,1.26104,0.70932,1.2869,0.82863,0.87999,0.87899,0.63621,1.18601,0.57044,1.31716,0.006568,0.006568,0.006568
54,2998.3,1.25983,0.69937,1.28801,0.84303,0.881,0.89021,0.64798,1.18326,0.56841,1.3111,0.006502,0.006502,0.006502
55,3039.48,1.26019,0.70301,1.28825,0.82944,0.89108,0.889,0.64188,1.19416,0.57302,1.31215,0.006436,0.006436,0.006436
56,3080.34,1.26148,0.71258,1.28864,0.83244,0.89343,0.89681,0.64792,1.18331,0.56659,1.31627,0.00637,0.00637,0.00637
57,3120.59,1.24781,0.691,1.27829,0.8519,0.88378,0.90113,0.65078,1.18235,0.55946,1.31747,0.006304,0.006304,0.006304
58,3171.89,1.24979,0.70164,1.28989,0.85231,0.86598,0.89468,0.63846,1.1876,0.57348,1.32419,0.006238,0.006238,0.006238
59,3225.59,1.24751,0.69774,1.27951,0.84235,0.89632,0.88831,0.64013,1.19535,0.56658,1.31574,0.006172,0.006172,0.006172
60,3279.61,1.24482,0.69327,1.28353,0.85475,0.86093,0.88855,0.63898,1.18449,0.56317,1.3076,0.006106,0.006106,0.006106
61,3334.48,1.24363,0.68466,1.28271,0.83734,0.89968,0.89397,0.6444,1.18563,0.55291,1.3206,0.00604,0.00604,0.00604
62,3384,1.24371,0.6872,1.2751,0.86539,0.89097,0.89835,0.65186,1.175,0.5506,1.30936,0.005974,0.005974,0.005974
63,3446.72,1.23653,0.68805,1.27583,0.85474,0.89695,0.89712,0.64826,1.18628,0.5481,1.31644,0.005908,0.005908,0.005908
64,3514.84,1.23003,0.67724,1.2721,0.84628,0.89981,0.9002,0.64413,1.18607,0.55397,1.31944,0.005842,0.005842,0.005842
65,3581.05,1.23087,0.68469,1.27497,0.84441,0.89079,0.88979,0.64516,1.18328,0.55517,1.31263,0.005776,0.005776,0.005776
66,3646.55,1.22873,0.67956,1.27264,0.83795,0.89091,0.89479,0.64989,1.17787,0.5606,1.30726,0.00571,0.00571,0.00571
67,3711.82,1.22777,0.67241,1.27061,0.85112,0.87548,0.89233,0.64373,1.17359,0.56065,1.30775,0.005644,0.005644,0.005644
68,3776.95,1.21381,0.66655,1.25997,0.83313,0.89563,0.89317,0.64299,1.1827,0.5543,1.31361,0.005578,0.005578,0.005578
69,3819.4,1.2146,0.65784,1.25693,0.83845,0.90785,0.88778,0.64102,1.18227,0.54937,1.30912,0.005512,0.005512,0.005512
70,3869.93,1.22146,0.66035,1.26709,0.84986,0.88059,0.88499,0.63611,1.17951,0.56405,1.31021,0.005446,0.005446,0.005446
71,3933.18,1.21694,0.66673,1.26452,0.85591,0.87541,0.89478,0.64306,1.18585,0.55259,1.31881,0.00538,0.00538,0.00538
72,3999.92,1.20421,0.64955,1.25109,0.86014,0.87421,0.89572,0.64863,1.17999,0.55145,1.31243,0.005314,0.005314,0.005314
73,4064.65,1.21121,0.65751,1.25814,0.83512,0.91735,0.89216,0.64289,1.19131,0.55143,1.32312,0.005248,0.005248,0.005248
74,4134,1.20056,0.65555,1.26236,0.85327,0.87343,0.89314,0.64769,1.18317,0.5497,1.3083,0.005182,0.005182,0.005182
75,4207.6,1.2088,0.65473,1.265,0.8412,0.89802,0.89401,0.6434,1.16892,0.54568,1.30462,0.005116,0.005116,0.005116
76,4281.78,1.20402,0.64957,1.25632,0.85236,0.89526,0.90423,0.65482,1.16652,0.53442,1.30142,0.00505,0.00505,0.00505
77,4350.82,1.20127,0.6358,1.24717,0.83844,0.88597,0.88558,0.64007,1.17795,0.55187,1.30836,0.004984,0.004984,0.004984
78,4417.53,1.20061,0.64223,1.25187,0.84539,0.88169,0.88727,0.64241,1.17424,0.5498,1.31085,0.004918,0.004918,0.004918
79,4485.9,1.20014,0.63676,1.25242,0.82393,0.90286,0.88482,0.64189,1.17816,0.54683,1.31427,0.004852,0.004852,0.004852
80,4551.76,1.19187,0.6364,1.24766,0.85276,0.87572,0.8936,0.65409,1.18202,0.54622,1.30922,0.004786,0.004786,0.004786
81,4617.55,1.1835,0.63111,1.24678,0.82741,0.90521,0.88742,0.64529,1.17443,0.55055,1.30964,0.00472,0.00472,0.00472
82,4688.4,1.18896,0.62764,1.24572,0.8339,0.90313,0.89588,0.6545,1.16842,0.54064,1.30349,0.004654,0.004654,0.004654
83,4735.81,1.18368,0.63239,1.24278,0.84939,0.87943,0.88871,0.64607,1.18416,0.54613,1.31977,0.004588,0.004588,0.004588
84,4779.97,1.18492,0.62413,1.24318,0.84677,0.8914,0.88985,0.644,1.18032,0.54579,1.3155,0.004522,0.004522,0.004522
85,4823.7,1.18277,0.61945,1.24242,0.86244,0.88084,0.88998,0.6464,1.18098,0.54841,1.31543,0.004456,0.004456,0.004456
86,4867.78,1.18024,0.61719,1.24167,0.83412,0.9016,0.8827,0.64291,1.17962,0.54811,1.31961,0.00439,0.00439,0.00439
87,4909.59,1.17413,0.61696,1.24201,0.86138,0.86833,0.8897,0.65115,1.17546,0.54548,1.31375,0.004324,0.004324,0.004324
88,4950.63,1.17613,0.61623,1.2385,0.85491,0.88355,0.88856,0.63986,1.1852,0.54141,1.31914,0.004258,0.004258,0.004258
89,4991.49,1.1643,0.60777,1.23098,0.87688,0.86167,0.88656,0.64702,1.18466,0.54918,1.31695,0.004192,0.004192,0.004192
90,5033.07,1.17033,0.61302,1.23745,0.84053,0.89458,0.88707,0.64265,1.17759,0.55101,1.31031,0.004126,0.004126,0.004126
91,5076.38,1.16874,0.6081,1.22954,0.84656,0.88231,0.88679,0.64691,1.17568,0.5462,1.30928,0.00406,0.00406,0.00406
92,5117.14,1.16391,0.60597,1.23438,0.83943,0.8973,0.88567,0.64636,1.17954,0.53552,1.31889,0.003994,0.003994,0.003994
93,5158.04,1.15737,0.60484,1.22522,0.84639,0.89338,0.88845,0.64566,1.1779,0.54903,1.31184,0.003928,0.003928,0.003928
94,5199.8,1.16338,0.60221,1.23359,0.84817,0.8934,0.88805,0.646,1.17721,0.54121,1.31352,0.003862,0.003862,0.003862
95,5241.92,1.15385,0.5982,1.22746,0.85666,0.89795,0.89108,0.64864,1.17061,0.54326,1.30844,0.003796,0.003796,0.003796
96,5285.18,1.15407,0.60065,1.22036,0.83004,0.89937,0.88511,0.64417,1.18083,0.54817,1.31572,0.00373,0.00373,0.00373
